Composition,Eg (eV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
InSb,0.22,50,2,49,51,118.289,6.942,114.818,121.76,5,0,5,5,14,2,13,15,5.5,1,5,6,1,0,1,1,80,10,75,85,1.5,0.1,1.45,1.55,1.42,0.04,1.4,1.44,1.9075,0.285,1.765,2.05,1.5,0.1,1.45,1.55,0.92,0.04,0.9,0.94,1.915,0.27,1.78,2.05,1.885,0.51,1.63,2.14,4.6145,0.7616,4.2337,4.9953,3.975,1.75,3.1,4.85,1.82,0.328,1.656,1.984,3.22,0.44,3,3.44,4,2,3,5,2,0,2,2,2,2,1,3,10,0,10,10,2,0,2,2,696,276,558,834,8.15,3.1,6.6,9.7,666.95,474.4,429.75,904.15,2288.15,130,2223.15,2353.15,7,0.62,6.69,7.31,0.22,0.02,0.21,0.23,11.5665,16.607,3.263,19.87,154.32,154.36,77.14,231.5,52.95,57.3,24.3,81.6,252.5,19,243,262,2.635,0.23,2.52,2.75
Sr2Be2B2O7,8,37.5,68,4,38,81.7205,157.216,9.01218,87.62,8,4,2,5,36.5,108,2,16,17.25,45,2,7,2.25,7,0,1,225.75,593,8,87,3,0.2,0.6,2,3.0925,1.29,0.73,1.91,3.35625,3.165,0.465,3.21,3,0.2,0.6,2,3.1075,2.14,0.25,1.32,8.3,22.18,0.95,3.44,8.05,20.98,1.13,3.32,20.5221,51.8745,3.3588,8.3703,18.79,48.78,2,7.54,8.6125,23.344,0.963,3.61,3.5,6,0,3,14,38,2,6,6.5,0,2,2,7.5,28,0,4,0,0,0,0,14,38,2,6,3424,8100,549,1314,19.4877,49.649,0.793,27.6,2568.54,4321.05,54.75,2352.15,4019.49,5855.25,90.15,3243.15,3.3675,5.06999,0.00143,2.54,3.18,3.04,0.3,1.82,35.7395,98.8419,0.22259,50.2,469.017,955.531,3.4099,489.7,131.197,399.813,0.02674,200,966.25,818,164,573,10.01,8.18,1.72,5.81
K2CuNbS4,2.82,43,23,16,41,90.7282,35.3576,32.066,92.9064,7.25,7,3,5,20.5,62,1,16,9.5,26,1,7,2,2,0,2,117.25,346,3,88,2.8,0.4,1,2.2,2.6625,0.02,1.02,2.03,4.145,2.98,1.1,3.69,2.8,0.4,1,2.2,1.5625,1.32,0.43,1.52,3.865,8.68,0.82,2.58,3.8275,9,0.8,2.65,9.0314,17.8068,2.7882,5.8458,9.55,20.04,2.42,6.22,3.771,8.888,0.734,2.589,5.11,3.44,1,5.44,10.5,9,1,11,3,7,1,2,4,16,0,4,3.5,10,0,10,7,23,1,6,1558.75,3162,419,1000,30.2,75.2,2.9,43.4,1578.47,2068.35,336.4,2741.15,3198.25,2143.75,717.85,5015.15,6.8825,7.24,0.86,8.96,1.245,1.24,0.26,0.75,12.747,19.53,1.7175,26.4,295.31,642.8,9.8,682,165.144,399.924,0.269,401,590,546,90,726,6.082,5.702,0.934,7.57
PrTe2,1.02,81.5,45,52,59,198.054,114.292,127.6,140.908,8,4,5,6,17.5,29,3,16,7.5,9,3,6,2.5,1,1,3,98.5,163,17,90,2.325,0.95,1.4,1.85,2.185,1.07,1.36,1.65,3.91,1.14,1.67,4.48,2.325,0.95,1.4,1.85,1.77,0.9,1.11,1.32,2.665,3.07,1.13,2.1,2.93,3.66,1.1,2.38,7.76155,6.2441,4.6395,5.4418,7.04,7.88,3.1,5.49,2.703,3.226,1.09,2.158,3.55,0.9,2,3.1,7.5,9,3,6,3,2,2,2,4,8,0,4,10,20,0,10,3,2,2,2,1132.5,1211,527,869,19.6,17.2,5.5,28.2,1324.72,241.15,722.65,1204.15,2908.03,764.25,1262.95,3290.15,9.625,5.71,6.24,6.77,0.295,0.21,0.19,0.2,20.935,28.09,6.89,17.49,200.95,191.7,52.55,296.8,8.6,7.8,2.35,12.5,375,38,197,356,4.04,0.68,2.19,3.7
BAs,1.46,19,28,5,33,42.8663,64.1106,10.811,74.9216,3,2,2,4,14,2,13,15,6,0,6,6,1,0,1,1,78,12,72,84,1,0.3,0.85,1.15,1.01,0.38,0.82,1.2,1.105,0.62,0.795,1.415,1,0.3,0.85,1.15,0.485,0.47,0.25,0.72,2.11,0.14,2.04,2.18,2.085,0.37,1.9,2.27,4.88355,0.5769,4.5951,5.172,4.795,1.01,4.29,5.3,2.131,0.16,2.051,2.211,3,0,3,3,4,2,3,5,2,0,2,2,2,2,1,3,0,0,0,0,4,2,3,5,874,146,801,947,3.65,1.3,3,4.3,1721.15,1262,1090.15,2352.15,1856.65,1933,890.15,2823.15,4.035,3.39,2.34,5.73,0.675,0.69,0.33,1.02,38.95,22.5,27.7,50.2,262.23,454.94,34.76,489.7,38.5,23,27,50,437.5,271,302,573,4.385,2.85,2.96,5.81
Ba4Ga4GeSe12,2.18,197,100,31,56,462.082,270.416,69.723,137.327,23,24,4,6,66.5,184,2,16,29.5,76,2,7,4.25,12,0,1,369.75,1032,9,89,7.2125,5.2,1.15,2.15,7.025,6,1.16,1.98,9.342,1.812,1.285,3.402,7.2125,5.2,1.15,2.15,4.0625,5.43,0.53,1.49,10.8525,27.04,0.89,2.55,10.8975,26.16,1.08,2.54,27.0802,52.4632,4.1672,5.761,24.42,61.08,2.4,5.89,10.4375,25.684,0.881,2.434,12.44,20,2,4,24,64,2,6,10.5,0,2,2,13.5,48,0,4,0,0,0,0,24,64,2,6,4095.5,9280,503,941,60.725,113.2,3.8,39.7,3076.69,8.75,302.95,1220.55,8239.54,8394.65,958.15,3103.15,25.1,9.6,3.5,5.9,1.614,0.664,0.204,0.37,42.657,14.58,5.59,36.94,596.525,121.5,37.7,330.9,80.095,35.42,2.04,59.9,1241.25,343,180,377,13.0525,3.75,1.9,3.85
CuBr,2.94,32,6,29,35,71.725,16.358,63.546,79.904,4,0,4,4,14,6,11,17,6,4,4,8,1.5,1,1,2,79.5,31,64,95,1.25,0.2,1.15,1.35,1.155,0.03,1.14,1.17,1.62,0.84,1.2,2.04,1.25,0.2,1.15,1.35,1.265,1.11,0.71,1.82,2.43,1.06,1.9,2.96,1.955,1.75,1.08,2.83,5.0358,2.7442,3.6637,6.4079,6.035,3.11,4.48,7.59,2.2675,0.835,1.85,2.685,2.72,5.44,0,5.44,9,4,7,11,1.5,1,1,2,2.5,5,0,5,5,10,0,10,4,6,1,7,942.5,395,745,1140,4.9,3.6,3.1,6.7,811.05,1090.2,265.95,1356.15,1586.05,2508.2,331.95,2840.15,6.04,5.84,3.12,8.96,0.4265,0.093,0.38,0.473,9.168,7.764,5.286,13.05,157.869,284.862,15.438,300.3,200.561,400.878,0.122,401,225,226,112,338,2.355,2.27,1.22,3.49
HgSe,0.07,57,46,34,80,139.775,121.63,78.96,200.59,5,2,4,6,14,4,12,16,5.5,3,4,7,1.5,1,1,2,80,18,71,89,1.325,0.35,1.15,1.5,1.325,0.33,1.16,1.49,1.8475,1.125,1.285,2.41,1.325,0.35,1.15,1.5,0.695,0.27,0.56,0.83,2.275,0.55,2,2.55,2.015,1.05,1.49,2.54,7.00395,2.4859,5.761,8.2469,5.4,0.98,4.91,5.89,2.097,0.674,1.76,2.434,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,974,66,941,1007,4.6,1.6,3.8,5.4,362.2,255.9,234.25,490.15,794.15,328,630.15,958.15,9.145,8.71,4.79,13.5,0.2295,0.181,0.139,0.32,4.4945,4.399,2.295,6.694,48.4645,21.529,37.7,59.229,5.19,6.3,2.04,8.34,144,166,61,227,1.565,1.79,0.67,2.46
AgIn5Te8,0.47,236,369,47,52,567.586,912.932,107.868,127.6,23.3333,0,5,5,68,117,11,16,25.6667,44,4,6,4.33333,8,0,1,386.667,655,65,90,6.85,9.6,1.4,1.6,6.47333,5.86,1.34,1.44,8.66167,10.985,1.67,2.375,6.85,9.6,1.4,1.6,4.95667,3.41,0.94,1.29,9.21,7.9,1.78,2.1,9.42,17.97,1.07,2.38,22.8517,39.6822,3.8522,5.4418,21.2867,28.42,3.1,5.49,9.138,8.984,1.656,2.158,12.88,10.56,2,5.44,24.6667,4,3,11,9,1,1,2,12.3333,32,0,4,46.6667,0,10,10,9,15,1,2,3491,4162,558,869,33.4667,4.5,5.5,9.7,3055.03,913.6,429.75,1235.15,8118.17,7618.45,1262.95,2485.15,32.3233,39.42,6.24,10.5,0.995,1.365,0.2,0.235,55.845,123.605,3.263,17.49,609.493,169.82,52.55,250.58,285.267,410.2,2.35,429,1025,1292,197,284,11.0233,14.57,2.19,2.95
Rb7Th2P6Se21,2.07,310.75,90,15,90,726.588,278.234,30.9738,232.038,37.75,4,3,7,109.75,329,1,16,50.5,140,1,7,7.75,4,0,2,606.75,1841,4,89,12.55,10.45,1,2.35,12.285,8.76,1.06,2.16,18.2712,2.52,1.24,4.98,12.55,10.45,1,2.35,6.905,9.76,0.31,1.66,18.7575,47.81,0.82,2.55,18.865,47.74,0.8,2.54,44.7032,115.224,2.8784,5.761,45.0475,107.31,2.34,5.89,17.9485,46.172,0.706,2.434,18.75,1,1,4,41.75,119,1,6,16.25,35,1,2,25.5,84,0,4,1,4,0,2,41.75,119,1,6,7457,3251,403,1012,124.175,309.5,3.6,47.3,4606.82,1861.95,312.05,2023.15,10070.1,6807.4,553.15,5063.15,36.405,12.69,1.53,11.7,3.53025,4.38,0.12,0.77,48.015,28.258,0.657,16.1,599.697,956.026,12.129,514.4,139.912,405.99,0.235,58.2,2102.75,550,86,576,22.651,6.436,0.852,6.2
TlS,1.37,48.5,65,16,81,118.225,172.317,32.066,204.383,4.5,3,3,6,14.5,3,13,16,6,2,5,7,1,0,1,1,82,12,76,88,1.45,0.9,1,1.9,1.25,0.46,1.02,1.48,1.6675,1.135,1.1,2.235,1.45,0.9,1,1.9,0.73,0.6,0.43,1.03,2.1,0.96,1.62,2.58,2.17,0.96,1.69,2.65,5.2538,1.184,4.6618,5.8458,4.71,3.02,3.2,6.22,2.189,0.8,1.789,2.589,2.72,1.44,2,3.44,4.5,3,3,6,2,0,2,2,2.5,3,1,4,5,10,0,10,4.5,3,3,6,794.5,411,589,1000,5.25,4.7,2.9,7.6,481.05,190.2,385.95,576.15,1224,1012.3,717.85,1730.15,6.985,9.83,2.07,11.9,0.42,0.58,0.13,0.71,2.92975,2.4245,1.7175,4.142,86.95,154.3,9.8,164.1,23.1845,45.831,0.269,46.1,230.5,97,182,279,2.365,0.97,1.88,2.85
CdS,2.501,32,32,16,48,72.2385,80.345,32.066,112.411,4,2,3,5,14,4,12,16,5.5,3,4,7,0.5,1,0,1,79,18,70,88,1.275,0.55,1,1.55,1.25,0.46,1.02,1.48,1.6575,1.115,1.1,2.215,1.275,0.55,1,1.55,0.675,0.49,0.43,0.92,2.135,0.89,1.69,2.58,2.025,1.25,1.4,2.65,4.88225,1.9271,3.9187,5.8458,5.275,1.89,4.33,6.22,2.0545,1.069,1.52,2.589,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,934,132,868,1000,5.05,4.3,2.9,7.2,490,208.1,385.95,594.05,878,320.3,717.85,1038.15,5.36,6.58,2.07,8.65,0.47,0.48,0.23,0.71,3.95475,4.4745,1.7175,6.192,54.685,89.77,9.8,99.57,48.5345,96.531,0.269,96.8,195.5,167,112,279,2.005,1.69,1.16,2.85
Al2Se3,3.1,64,76,13,34,145.422,182.917,26.9815,78.96,9,6,3,4,37,22,13,16,15.5,11,5,7,2.5,1,1,1,206.5,121,73,89,2.975,0.95,1.15,1.25,2.92,1.12,1.16,1.18,3.6025,0.505,1.285,1.675,2.975,0.95,1.15,1.25,1.37,0.62,0.53,0.56,5.435,4.43,1.61,2.55,5.45,4.34,1.64,2.54,12.1652,10.2356,3.5237,5.761,12.065,11.21,3.23,5.89,5.264,4.076,1.613,2.434,6,0,2,3,12,12,3,6,5,2,2,2,7,10,1,4,0,0,0,0,12,12,3,6,1989.5,1667,578,941,14,5.2,3.8,8.3,1668.38,395.85,490.15,933.15,4177.38,2605.85,958.15,2740.15,9.885,8.97,2.7,4.79,1.38,0.84,0.32,0.9,20.831,1.498,6.694,10.79,349.95,473.7,37.7,293.4,240.06,467.88,2.04,237,666.5,29,227,326,7.08,0.6,2.46,3.39
In2GeTe3,0.68,95.3333,124,32,52,228.349,310.19,72.61,127.6,9.66667,11,4,5,29.3333,22,13,16,11.3333,8,5,6,2,0,1,1,166.333,120,75,90,2.85,1.85,1.25,1.55,2.72667,1.66,1.22,1.44,3.55667,2.54,1.56,2.05,2.85,1.85,1.25,1.55,1.91333,2.8,0.53,1.11,3.95667,2.74,1.78,2.1,4.13,3.88,1.63,2.38,9.81113,7.858,4.2337,5.4418,9.09,10.27,3.1,5.49,3.92667,3.162,1.656,2.158,5.62667,2,2,4,9.33333,12,3,6,4,0,2,2,5.33333,10,1,4,16.6667,30,0,10,4.66667,2,2,4,1495,1491,558,869,14,2.9,5.5,9.7,1416,361.05,429.75,1220.55,3866.1,685.7,1262.95,3103.15,12.8867,9.3,5.32,7.31,0.46,0.28,0.2,0.32,31.9787,30.414,3.263,36.94,317.183,173.25,52.55,330.9,76.7167,156.15,2.35,81.6,484.667,214,197,377,5.15333,2.72,2.19,3.85
BiSeBr,1.5,50.6667,49,34,83,122.615,130.02,78.96,208.98,4.66667,2,4,6,16,2,15,17,6.66667,3,5,8,1,0,1,1,90,9,86,95,1.3,0.45,1.15,1.6,1.25333,0.32,1.14,1.46,1.494,0.797,1.2,1.997,1.3,0.45,1.15,1.6,1.18333,1.26,0.56,1.82,2.51,0.94,2.02,2.96,2.50333,0.69,2.14,2.83,5.6659,1.5791,4.8288,6.4079,6.05667,2.9,4.69,7.59,2.37633,0.675,2.01,2.685,1.66667,3,0,3,6,2,5,7,2,0,2,2,4,2,3,5,3.33333,10,0,10,6,2,5,7,928,437,703,1140,4.76667,4.3,3.1,7.4,433.417,278.2,265.95,544.15,1041.08,1501.2,331.95,1833.15,5.88667,6.63,3.12,9.75,0.304333,0.353,0.12,0.473,7.76,6.014,5.286,11.3,52.646,89.362,15.438,104.8,3.344,7.748,0.122,7.87,182,115,112,227,1.95333,1.24,1.22,2.46
GaAs0.4P0.6,2.1,17.7333,4.2,15,33,39.4253,11.3844,30.9738,74.9216,2.46667,0.2,3,4,9.33333,7,13,15,3.86667,0.8,5,7,0.666667,0,1,1,52.4667,40.4,74,84,0.786667,0.7,1,1.3,0.792,0.624,1.06,1.26,1.00167,0.951,1.24,1.695,0.786667,0.7,1,1.3,0.411333,0.574,0.31,0.76,1.332,0.496,1.81,2.19,1.33333,0.308,1.7,2.32,3.07049,2.0984,4.1672,5.172,2.89733,0.172,3.2,5.62,1.33073,0.4042,1.756,2.253,2.14667,1.64,3,3.44,2.66667,2,3,5,1.33333,0.8,2,2,1.33333,2,1,3,0,0,0,0,2.66667,2,3,5,521.667,28.2,579,1012,3.99333,5.94,3.6,8.1,309.787,133.11,302.95,1090.15,1121.37,2344.26,553.15,2676.15,3.09467,4.808,1.82,5.9,0.321333,0.33,0.33,0.77,5.68807,10.6858,0.657,27.7,93.2938,251.423,12.129,258.7,20.247,19.859,0.235,50,198.6,97,286,315,2.01733,0.752,2.81,3.43
K2AuPS4,2.63,49,64,15,79,108.6,165.993,30.9738,196.967,7.25,6,3,6,23,62,1,16,10.25,26,1,7,1.75,2,0,2,126.75,346,3,88,2.6875,0.4,1,2.2,2.635,0.02,1.02,2.03,3.92,2.98,1.1,3.69,2.6875,0.4,1,2.2,1.645,2.73,0.31,1.52,4.1725,8.68,0.82,2.58,3.9275,9,0.8,2.65,10.4744,2.4027,2.7882,7.9791,10.2775,20.04,2.42,6.22,3.99925,8.888,0.734,2.589,4.61,3.44,1,5.44,10.5,9,1,11,3.25,7,1,2,4.75,16,0,4,2.5,10,0,10,8,23,1,6,1685,174,419,1012,27.025,75.2,2.9,43.4,967.75,1019.9,317.25,1337.15,2211,2800,553.15,3353.15,7.78,17.58,0.86,19.3,1.3095,0.642,0.128,0.77,6.18625,11.893,0.657,12.55,136.367,295.2,9.8,334.4,130.778,316.765,0.235,317,494.25,186,90,366,5.127,1.942,0.934,3.81
CsH3Se2O6,4.77,43.5,52,1,55,97.4614,129.882,1.00794,132.905,7.25,3,1,6,33,93,1,16,19.5,41,1,7,2,6,0,1,245.25,271,5,92,2.3125,1.85,0.25,2.6,2.54,1.24,0.37,2.35,3.355,1.52,0.465,4.31,2.3125,1.85,0.25,2.6,2.6225,1.51,0.1,1.81,8.2825,19.85,0.79,3.44,8.0175,19.15,0.77,3.32,21.9279,45.7892,4.4326,8.3703,20.185,43.06,2.18,7.54,8.52175,21.001,0.659,3.61,1.25,4,0,2,13,33,1,6,5,9,1,2,8,24,0,4,0,0,0,0,13,33,1,6,3519.5,7508,376,1314,18.5145,57.5,0.7,59.6,413.125,938.15,14.05,490.15,865.025,1855.55,20.25,958.15,2.8647,9.57979,6.99e-05,4.79,12.328,42.672,0.24,14.304,4.24789,13.212,0.05868,6.694,41.2369,66.3919,0.44936,67.74,15.9462,58.8396,0.02674,59,670.25,1415,79,249,5.361,15.72,0,2.62
